city_name;zipcode;Zusatzziffer;community_name;canton;E;N
Arch;3296;0;Arch;BE;7.428;47.164
Arconciel;1732;0;Arconciel;FR;7.123;46.747
Ardez;7546;0;Scuol;GR;10.202;46.775
Ardon;1957;0;Ardon;VS;7.253;46.210
Areuse;2015;0;Boudry;NE;6.857;46.954
Arezen;7104;3;Safiental;GR;9.334;46.782
Argnou (Ayent);1966;10;Ayent;VS;7.400;46.264
Arisdorf;4422;0;Arisdorf;BL;7.770;47.515
Aristau;5628;0;Aristau;AG;8.361;47.287
Arlesheim;4144;0;Arlesheim;BL;7.627;47.495
Arnegg;9212;0;Gossau (SG);SG;9.255;47.445
Arnex-sur-Nyon;1277;1;Arnex-sur-Nyon;VD;6.191;46.375
Arnex-sur-Orbe;1321;0;Arnex-sur-Orbe;VD;6.519;46.693
Arni AG;8905;3;Arni (AG);AG;8.425;47.318
Arni BE;3508;0;Arni (BE);BE;7.668;46.936
Arogno;6822;0;Arogno;TI;8.989;45.960
Arolla;1986;0;Evolène;VS;7.483;46.025
Arosa;7050;0;Arosa;GR;9.672;46.780
Arosio;6939;2;Alto Malcantone;TI;8.900;46.048
Arth;6415;0;Arth;SZ;8.523;47.064
Arveyes;1884;2;Ollon;VD;7.063;46.289
Arvigo;6543;0;Calanca;GR;9.113;46.302
Arvillard (Salins);1991;2;Sion;VS;7.346;46.211
Arzier-Le Muids;1273;0;Arzier-Le Muids;VD;6.207;46.461
Arzo;6864;0;Mendrisio;TI;8.941;45.876
Ascharina;7245;0;Luzein;GR;9.807;46.958
Ascona;6612;0;Ascona;TI;8.768;46.155
Asp;5025;0;Densbüren;AG;8.049;47.443
Assens;1042;0;Assens;VD;6.623;46.613
Astano;6999;0;Astano;TI;8.817;46.014
Asuel;2954;0;La Baroche;JU;7.209;47.401
Athenaz (Avusy);1285;0;Avusy;GE;6.007;46.155
Attalens;1616;0;Attalens;FR;6.849;46.511
Attelwil;5056;0;Attelwil;AG;8.045;47.262
Attikon;8544;0;Wiesendangen;ZH;8.798;47.536
Attinghausen;6468;0;Attinghausen;UR;8.624;46.865
Attiswil;4536;0;Attiswil;BE;7.616;47.250
Au SG;9434;0;Au (SG);SG;9.634;47.433
Au TG;8376;2;Fischingen;TG;8.951;47.398
Au ZH;8804;0;Wädenswil;ZH;8.646;47.248
Aubonne;1170;0;Aubonne;VD;6.392;46.497
Auboranges;1673;3;Auboranges;FR;6.806;46.583
Auddes-sur-Riddes;1914;2;Riddes;VS;7.244;46.154
Auenstein;5105;0;Auenstein;AG;8.145;47.419
Augio;6547;0;Rossa;GR;9.124;46.366
Augst BL;4302;0;Augst;BL;7.720;47.532
Aumont;1484;0;Les Montets;FR;6.849;46.801
Auressio;6661;2;Onsernone;TI;8.684;46.202
Aurigeno;6677;1;Maggia;TI;8.713;46.231
Auslikon;8331;0;Pfäffikon;ZH;8.807;47.346
Ausserberg;3938;0;Ausserberg;VS;7.849;46.314
Ausserbinn;3995;2;Ernen;VS;8.150;46.383
Ausserferrera;7444;0;Ferrera;GR;9.442;46.557
Auswil;4944;0;Auswil;BE;7.833;47.135
Autafond;1782;2;Belfaux;FR;7.078;46.814
Autavaux;1475;0;Vernay;FR;6.877;46.865
Autigny;1742;0;Autigny;FR;7.021;46.736
Auvernier;2012;0;Milvignes;NE;6.877;46.978
Auw;5644;0;Auw;AG;8.368;47.212
Avegno;6670;0;Avegno Gordevio;TI;8.746;46.206
Aven;1976;1;Conthey;VS;7.269;46.236
Avenches;1580;0;Avenches;VD;7.041;46.880
Avry-devant-Pont;1644;0;Pont-en-Ogoz;FR;7.086;46.687
Avry-sur-Matran;1754;4;Avry;FR;7.071;46.788
Avully;1237;0;Avully;GE;6.000;46.169
Axalp;3855;1;Brienz (BE);BE;8.038;46.721
Ayer;3961;24;Anniviers;VS;7.606;46.180
Azmoos;9478;0;Wartau;SG;9.479;47.082
Aïre;1219;10;Vernier;GE;6.098;46.200
Baar;6340;0;Baar;ZG;8.518;47.196
Baar (Nendaz);1996;5;Nendaz;VS;7.328;46.205
Bachenbülach;8184;0;Bachenbülach;ZH;8.540;47.501
Bachs;8164;0;Bachs;ZH;8.440;47.526
Bad Ragaz;7310;0;Bad Ragaz;SG;9.506;47.002
Bad Ragaz;7310;0;Pfäfers;SG;9.487;46.975
Bad Zurzach;5330;0;Bad Zurzach;AG;8.295;47.582
Baden;5400;0;Baden;AG;8.299;47.476
Baden;5404;0;Baden;AG;8.278;47.455
Baldegg;6283;0;Hochdorf;LU;8.280;47.181
Baldingen;5333;0;Baldingen;AG;8.315;47.557
Balerna;6828;0;Balerna;TI;9.008;45.850
Balgach;9436;0;Balgach;SG;9.606;47.407
Ballaigues;1338;0;Ballaigues;VD;6.415;46.729
Ballens;1144;0;Ballens;VD;6.374;46.555
Ballmoos;3303;4;Jegenstorf;BE;7.476;47.040
Ballwil;6275;0;Ballwil;LU;8.321;47.152
Balm b. Günsberg;4525;0;Balm bei Günsberg;SO;7.554;47.253
Balm b. Messen;3254;2;Messen;SO;7.435;47.103
Balmberg;4524;2;Balm bei Günsberg;SO;7.552;47.270
Balsthal;4710;0;Balsthal;SO;7.698;47.312
Balterswil;8362;0;Bichelsee-Balterswil;TG;8.940;47.456
Baltschieder;3937;0;Baltschieder;VS;7.859;46.307
Baltschieder;3937;0;Baltschieder;VS;7.881;46.376
Balzers;9496;0;Balzers;LI;9.504;47.064
