city_name;zipcode;Zusatzziffer;community_name;canton;E;N
Echarlens;1646;0;Echarlens;FR;7.076;46.648
Echichens;1112;0;Echichens;VD;6.499;46.526
Eclagnens;1376;2;Goumoëns;VD;6.591;46.651
Eclépens;1312;0;Eclépens;VD;6.526;46.652
Ecoteaux;1612;0;Oron;VD;6.862;46.546
Ecublens FR;1673;4;Ecublens (FR);FR;6.808;46.609
Ecublens VD;1024;0;Ecublens (VD);VD;6.562;46.526
Ecuvillens;1730;0;Hauterive (FR);FR;7.087;46.758
Ederswiler;2813;0;Ederswiler;JU;7.336;47.427
Edlibach;6313;2;Menzingen;ZG;8.571;47.180
Effingen;5078;0;Effingen;AG;8.101;47.489
Effretikon;8307;0;Illnau-Effretikon;ZH;8.695;47.420
Egerkingen;4622;0;Egerkingen;SO;7.796;47.326
Egg (Flawil);9231;0;Flawil;SG;9.224;47.392
Egg SZ;8847;0;Einsiedeln;SZ;8.781;47.161
Egg b. Zürich;8132;0;Egg;ZH;8.691;47.301
Eggenwil;5445;0;Eggenwil;AG;8.339;47.367
Eggerberg;3939;0;Eggerberg;VS;7.880;46.308
Eggersriet;9034;0;Eggersriet;SG;9.466;47.444
Eggiwil;3537;0;Eggiwil;BE;7.799;46.875
Eglisau;8193;0;Eglisau;ZH;8.526;47.575
Egliswil;5704;0;Egliswil;AG;8.186;47.350
Egnach;9322;0;Egnach;TG;9.383;47.548
Egolzwil;6243;0;Egolzwil;LU;8.006;47.185
Ehrendingen;5420;0;Ehrendingen;AG;8.347;47.497
Ehrikon;8489;2;Wildberg;ZH;8.809;47.419
Eich;6205;0;Eich;LU;8.171;47.153
Eichberg;9453;0;Eichberg;SG;9.530;47.345
Eigenthal;6013;0;Schwarzenberg;LU;8.215;47.008
Eigergletscher;3823;2;Lauterbrunnen;BE;7.974;46.575
Eiken;5074;0;Eiken;AG;7.988;47.536
Einigen;3646;0;Spiez;BE;7.646;46.709
Einsiedeln;8840;0;Einsiedeln;SZ;8.750;47.128
Eischoll;3943;0;Eischoll;VS;7.781;46.295
Eison (St-Martin);1969;5;Saint-Martin (VS);VS;7.471;46.152
Eisten;3922;2;Eisten;VS;7.893;46.199
Elfingen;5077;0;Elfingen;AG;8.103;47.508
Elgg;8353;0;Elgg;ZH;8.863;47.495
Ellighausen;8566;4;Kemmental;TG;9.139;47.613
Ellikon am Rhein;8464;0;Marthalen;ZH;8.599;47.605
Ellikon an der Thur;8548;0;Ellikon an der Thur;ZH;8.825;47.562
Elm;8767;0;Glarus Süd;GL;9.175;46.919
Elsau;8352;0;Elsau;ZH;8.805;47.504
Embd;3926;0;Embd;VS;7.829;46.216
Embrach;8424;0;Embrach;ZH;8.595;47.501
Emdthal;3711;0;Aeschi bei Spiez;BE;7.685;46.654
Emmen;6032;0;Emmen;LU;8.302;47.079
Emmenbrücke;6020;0;Emmen;LU;8.274;47.077
Emmenmatt;3543;0;Lauperswil;BE;7.748;46.948
Emmetten;6376;0;Emmetten;NW;8.523;46.956
Endingen;5304;0;Endingen;AG;8.298;47.537
Engelberg;6390;0;Engelberg;OW;8.404;46.816
Engelburg;9032;0;Gaiserwald;SG;9.344;47.445
Enges;2073;0;Enges;NE;7.012;47.056
Enggistein;3077;0;Worb;BE;7.600;46.933
Engi;8765;0;Glarus Süd;GL;9.151;46.981
Engishofen;8586;8;Erlen;TG;9.250;47.556
Englisberg;3086;2;Wald (BE);BE;7.468;46.898
Engollon;2063;2;Val-de-Ruz;NE;6.921;47.038
Engwang;8556;2;Wigoltingen;TG;9.054;47.600
Engwilen;8564;2;Wäldi;TG;9.097;47.616
Ennenda;8755;0;Glarus;GL;9.081;47.037
Ennetaach;8586;9;Erlen;TG;9.215;47.551
Ennetbaden;5408;0;Ennetbaden;AG;8.324;47.481
Ennetbühl;9651;0;Nesslau;SG;9.213;47.242
Ennetbürgen;6373;0;Ennetbürgen;NW;8.411;46.988
Ennetmoos;6372;0;Ennetmoos;NW;8.332;46.957
Enney;1667;0;Bas-Intyamon;FR;7.084;46.566
Entlebuch;6162;0;Entlebuch;LU;8.065;46.992
Epagny;1663;3;Gruyères;FR;7.085;46.588
Epalinges;1066;0;Epalinges;VD;6.674;46.546
Epautheyres;1417;2;Essertines-sur-Yverdon;VD;6.643;46.740
Epauvillers;2885;0;Clos du Doubs;JU;7.116;47.335
Ependes FR;1731;0;Ependes (FR);FR;7.146;46.755
Ependes VD;1434;0;Ependes (VD);VD;6.608;46.745
Epesses;1098;0;Bourg-en-Lavaux;VD;6.748;46.491
Epiquerez;2886;0;Clos du Doubs;JU;7.058;47.329
Eppenberg;5012;4;Eppenberg-Wöschnau;SO;8.024;47.377
Epsach;3272;2;Epsach;BE;7.222;47.070
Eptingen;4458;0;Eptingen;BL;7.824;47.386
Erde;1976;0;Conthey;VS;7.291;46.240
Ergisch;3947;0;Ergisch;VS;7.713;46.291
Eriswil;4952;0;Eriswil;BE;7.851;47.078
Eriz;3619;0;Eriz;BE;7.773;46.789
Erlach;3235;0;Erlach;BE;7.095;47.042
Erlen;8586;0;Erlen;TG;9.234;47.550
Erlenbach ZH;8703;0;Erlenbach (ZH);ZH;8.594;47.301
Erlenbach im Simmental;3762;0;Erlenbach im Simmental;BE;7.552;46.661
Erlinsbach;5018;0;Erlinsbach (AG);AG;8.016;47.404
Erlinsbach SO;5015;0;Erlinsbach (SO);SO;8.001;47.401
Ermatingen;8272;0;Ermatingen;TG;9.080;47.670
Ermensee;6294;0;Ermensee;LU;8.243;47.228
Ermenswil;8734;0;Eschenbach (SG);SG;8.889;47.245
Ernen;3995;0;Ernen;VS;8.150;46.398
Ernetschwil;8725;0;Gommiswald;SG;9.002;47.238
Erschmatt;3957;0;Leuk;VS;7.692;46.323
Erschwil;4228;0;Erschwil;SO;7.537;47.373
Ersigen;3423;0;Ersigen;BE;7.593;47.096
Erstfeld;6472;0;Erstfeld;UR;8.654;46.820
Eschen;9492;0;Eschen;LI;9.521;47.209
Eschenbach LU;6274;0;Eschenbach (LU);LU;8.320;47.133
Eschenbach SG;8733;0;Eschenbach (SG);SG;8.923;47.244
Eschenz;8264;0;Eschenz;TG;8.875;47.647
Eschert;2743;0;Eschert;BE;7.399;47.276
Eschikofen;8553;5;Hüttlingen;TG;9.005;47.580
Eschlikon TG;8360;0;Eschlikon;TG;8.961;47.466
Escholzmatt;6182;0;Escholzmatt-Marbach;LU;7.941;46.913
Esmonts;1670;3;Ursy;FR;6.844;46.642
Essert FR;1724;2;Le Mouret;FR;7.164;46.738
Essert-Pittet;1435;0;Essert-Pittet;VD;6.584;46.728
Essert-sous-Champvent;1443;2;Champvent;VD;6.585;46.793
Essertes;1078;0;Essertes;VD;6.789;46.562
Essertines-sur-Rolle;1186;0;Essertines-sur-Rolle;VD;6.318;46.493
Essertines-sur-Yverdon;1417;0;Essertines-sur-Yverdon;VD;6.638;46.718
Esslingen;8133;0;Egg;ZH;8.710;47.288
Estavannens;1665;0;Bas-Intyamon;FR;7.102;46.566
Estavayer-le-Gibloux;1695;3;Gibloux;FR;7.025;46.722
Estavayer-le-Lac;1470;0;Estavayer-le-Lac;FR;6.847;46.850
Estévenens;1687;3;Vuisternens-devant-Romont;FR;6.957;46.667
Etagnières;1037;0;Etagnières;VD;6.612;46.600
Etoy;1163;0;Etoy;VD;6.421;46.486
Ettenhausen TG;8356;0;Aadorf;TG;8.900;47.476
Ettingen;4107;0;Ettingen;BL;7.551;47.478
Ettiswil;6218;0;Ettiswil;LU;8.014;47.149
Etzelkofen;3306;0;Fraubrunnen;BE;7.481;47.084
Etzgen;5275;0;Mettauertal;AG;8.105;47.573
Etziken;4554;0;Etziken;SO;7.647;47.189
Etzwilen;8259;2;Wagenhausen;TG;8.822;47.659
Euseigne;1982;0;Hérémence;VS;7.420;46.170
Euthal;8844;0;Einsiedeln;SZ;8.816;47.096
Evilard;2533;0;Evilard;BE;7.240;47.150
Evionnaz;1902;0;Evionnaz;VS;7.024;46.178
Evolène;1983;0;Evolène;VS;7.494;46.111
Eyholz;3930;2;Visp;VS;7.911;46.294
Eysins;1262;0;Eysins;VD;6.205;46.379
Fahrni b. Thun;3617;0;Fahrni;BE;7.658;46.798
Fahrwangen;5615;0;Fahrwangen;AG;8.242;47.295
Fahrweid;8951;0;Weiningen (ZH);ZH;8.419;47.409
Fahy;2916;0;Fahy;JU;6.949;47.418
Faido;6760;0;Faido;TI;8.798;46.479
Fajauna;7226;2;Schiers;GR;9.702;46.971
Falera;7153;0;Falera;GR;9.229;46.804
Fanas;7215;0;Grüsch;GR;9.667;46.984
Fankhaus (Trub);3557;0;Trub;BE;7.909;46.969
Faoug;1595;0;Faoug;VD;7.077;46.909
Farden;7433;2;Donat;GR;9.425;46.633
Farnern;4539;2;Farnern;BE;7.618;47.267
Farvagny;1726;0;Gibloux;FR;7.066;46.722
Farvagny-le-Petit;1726;2;Gibloux;FR;7.073;46.728
Faulensee;3705;0;Spiez;BE;7.703;46.676
Fehraltorf;8320;0;Fehraltorf;ZH;8.750;47.392
Fehren;4232;0;Fehren;SO;7.577;47.397
Felben-Wellhausen;8552;0;Felben-Wellhausen;TG;8.941;47.576
Feldbach;8714;0;Hombrechtikon;ZH;8.789;47.238
Feldbrunnen;4532;0;Feldbrunnen-St. Niklaus;SO;7.553;47.221
Feldis/Veulden;7404;0;Domleschg;GR;9.433;46.793
Felsberg;7012;0;Felsberg;GR;9.471;46.845
Fenalet-sur-Bex;1880;3;Bex;VD;7.028;46.272
Fenil-sur-Corsier;1809;0;Corsier-sur-Vevey;VD;6.866;46.485
Fenin;2063;3;Val-de-Ruz;NE;6.923;47.024
Fenkrieden;5645;2;Sins;AG;8.371;47.158
Ferden;3916;0;Ferden;VS;7.756;46.395
Ferenbalm;3206;1;Ferenbalm;BE;7.211;46.948
Ferlens VD;1076;0;Jorat-Mézières;VD;6.786;46.589
Ferpicloz;1724;3;Ferpicloz;FR;7.165;46.748
Ferreyres;1313;0;Ferreyres;VD;6.485;46.658
Fescoggia;6938;1;Alto Malcantone;TI;8.877;46.040
Feuerthalen;8245;0;Feuerthalen;ZH;8.641;47.691
Feusisberg;8835;0;Feusisberg;SZ;8.748;47.188
Feutersoey;3784;0;Gsteig;BE;7.271;46.418
Fex;7514;2;Sils im Engadin/Segl;GR;9.763;46.416
Fey;1044;0;Fey;VD;6.681;46.676
Fey (Nendaz);1996;1;Nendaz;VS;7.272;46.189
Fiaugères;1609;0;Saint-Martin (FR);FR;6.891;46.586
Fiaugères;1609;0;Saint-Martin (FR);FR;6.881;46.594
Fidaz;7019;0;Flims;GR;9.312;46.840
Fideris;7235;0;Fideris;GR;9.740;46.914
Fiesch;3984;0;Bellwald;VS;8.162;46.419
Fiesch;3984;0;Fiesch;VS;8.131;46.404
Fieschertal;3984;2;Fieschertal;VS;8.145;46.423
Fiez;1420;0;Fiez;VD;6.624;46.826
Figino;6918;0;Lugano;TI;8.906;45.951
Filet;3983;3;Mörel-Filet;VS;8.053;46.361
Filisur;7477;0;Filisur;GR;9.689;46.674
Filzbach;8757;0;Glarus Nord;GL;9.131;47.123
Finhaut;1925;0;Finhaut;VS;6.974;46.082
Finsterhennen;2577;2;Finsterhennen;BE;7.178;47.026
Finstersee;6313;3;Menzingen;ZG;8.634;47.167
Finsterwald b. Entlebuch;6162;3;Entlebuch;LU;8.102;46.973
Fionnay;1948;1;Bagnes;VS;7.311;46.032
Fischbach LU;6145;0;Fischbach;LU;7.908;47.156
Fischbach-Göslikon;5525;0;Fischbach-Göslikon;AG;8.311;47.369
Fischenthal;8497;0;Fischenthal;ZH;8.919;47.331
Fischingen;8376;0;Fischingen;TG;8.972;47.416
Fisibach;5467;0;Fisibach;AG;8.406;47.563
Fislisbach;5442;0;Fislisbach;AG;8.297;47.439
Flaach;8416;0;Flaach;ZH;8.603;47.573
Flamatt;3175;0;Wünnewil-Flamatt;FR;7.309;46.890
Flanthey;3978;0;Lens;VS;7.454;46.270
Flawil;9230;0;Flawil;SG;9.189;47.411
Flendruz;1659;2;Rougemont;VD;7.182;46.483
Flerden;7426;0;Flerden;GR;9.406;46.703
Flerden;7426;0;Flerden;GR;9.396;46.674
Fleurier;2114;0;Val-de-Travers;NE;6.582;46.901
Flims Dorf;7017;0;Flims;GR;9.286;46.840
Flims Waldhaus;7018;0;Flims;GR;9.285;46.827
Flond;7137;0;Obersaxen Mundaun;GR;9.161;46.768
Flumenthal;4534;0;Flumenthal;SO;7.602;47.236
Flums;8890;0;Flums;SG;9.347;47.093
Flums Hochwiese;8893;0;Flums;SG;9.374;47.084
Flumserberg Bergheim;8896;0;Flums;SG;9.311;47.097
Flumserberg Portels;8895;0;Flums;SG;9.335;47.081
Flumserberg Saxli;8894;0;Flums;SG;9.354;47.075
Flumserberg Tannenbodenalp;8898;0;Flums;SG;9.284;47.092
Flumserberg Tannenheim;8897;0;Flums;SG;9.306;47.087
Flurlingen;8247;0;Flurlingen;ZH;8.628;47.684
Fläsch;7306;0;Fläsch;GR;9.509;47.028
Flüelen;6454;0;Flüelen;UR;8.629;46.905
Flüeli-Ranft;6073;0;Sachseln;OW;8.264;46.872
Flüh;4112;2;Hofstetten-Flüh;SO;7.499;47.484
Flühli LU;6173;0;Flühli;LU;8.020;46.880
Font;1473;0;Estavayer-le-Lac;FR;6.813;46.834
Fontaine Dessous (Liddes);1945;3;Liddes;VS;7.168;46.010
Fontaine Dessus (Liddes);1945;2;Liddes;VS;7.174;46.006
Fontainemelon;2052;0;Val-de-Ruz;NE;6.887;47.056
Fontaines NE;2046;0;Val-de-Ruz;NE;6.901;47.044
Fontaines-sur-Grandson;1421;0;Fontaines-sur-Grandson;VD;6.619;46.835
Fontanezier;1423;2;Tévenon;VD;6.653;46.854
Fontannen b. Wolhusen;6110;2;Wolhusen;LU;8.040;47.036
Fontenais;2902;0;Fontenais;JU;7.081;47.403
Fontnas;9476;2;Wartau;SG;9.489;47.091
Forch;8127;0;Küsnacht (ZH);ZH;8.649;47.322
Forel (Lavaux);1072;0;Forel (Lavaux);VD;6.770;46.541
Forel FR;1475;2;Vernay;FR;6.888;46.876
Forel-sur-Lucens;1526;0;Forel-sur-Lucens;VD;6.823;46.729
Formangueires;1782;6;La Sonnaz;FR;7.117;46.827
Fornet-Dessous;2717;0;Petit-Val;BE;7.173;47.280
Fornet-Dessus;2718;2;Lajoux (JU);JU;7.159;47.279
Fornex (Liddes);1945;7;Liddes;VS;7.163;46.009
Forst b. Längenbühl;3636;2;Forst-Längenbühl;BE;7.522;46.763
Fortunau (Ayent);1966;2;Ayent;VS;7.415;46.287
Founex;1297;0;Founex;VD;6.193;46.333
Frasco;6636;0;Frasco;TI;8.802;46.340
Frasnacht;9320;2;Arbon;TG;9.406;47.527
Frasses;1483;2;Les Montets;FR;6.864;46.827
Fraubrunnen;3312;0;Fraubrunnen;BE;7.517;47.084
Frauenfeld;8500;0;Frauenfeld;TG;8.886;47.566
Frauenkappelen;3202;0;Frauenkappelen;BE;7.338;46.956
Fregiécourt;2953;2;La Baroche;JU;7.194;47.413
Freidorf TG;9306;0;Roggwil (TG);TG;9.394;47.486
Freienbach;8807;0;Freienbach;SZ;8.761;47.205
Freienstein;8427;2;Freienstein-Teufen;ZH;8.591;47.533
Freienwil;5423;0;Freienwil;AG;8.321;47.502
Freimettigen;3510;8;Freimettigen;BE;7.627;46.868
Frenières-sur-Bex;1880;2;Bex;VD;7.071;46.262
Frenkendorf;4402;0;Frenkendorf;BL;7.707;47.502
Fresens;2027;3;Fresens;NE;6.746;46.889
Fretereules;2149;2;Rochefort;NE;6.766;46.962
Freudwil;8615;2;Uster;ZH;8.732;47.376
Fribourg;1700;0;Fribourg;FR;7.163;46.806
Frick;5070;0;Frick;AG;8.026;47.504
Frieswil;3035;0;Seedorf (BE);BE;7.285;46.995
Friltschen;9504;0;Bussnang;TG;9.087;47.538
Frinvillier;2535;0;Sauge;BE;7.257;47.170
Froideville;1055;0;Froideville;VD;6.681;46.602
Fruthwilen;8269;0;Salenstein;TG;9.065;47.659
Frutigen;3714;0;Frutigen;BE;7.643;46.588
Fräschels;3284;0;Fräschels;FR;7.211;46.995
Frümsen;9467;0;Sennwald;SG;9.472;47.243
Ftan;7551;0;Scuol;GR;10.246;46.796
Fuldera;7533;0;Val Müstair;GR;10.371;46.609
Fulenbach;4629;0;Fulenbach;SO;7.831;47.277
Full-Reuenthal;5324;0;Full-Reuenthal;AG;8.203;47.609
Fully;1926;0;Fully;VS;7.114;46.138
Furna;7232;0;Furna;GR;9.675;46.937
Fusio;6696;0;Lavizzara;TI;8.660;46.445
Fällanden;8117;0;Fällanden;ZH;8.646;47.373
Féchy;1173;0;Féchy;VD;6.370;46.481
Fétigny;1532;0;Fétigny;FR;6.915;46.797
Füllinsdorf;4414;0;Füllinsdorf;BL;7.728;47.511
Fürigen;6363;1;Stansstad;NW;8.352;46.982
Fürstenau;7414;0;Fürstenau;GR;9.449;46.722
Fürstenaubruck;7413;0;Fürstenau;GR;9.451;46.714
Gabi (Simplon);3907;3;Simplon;VS;8.073;46.184
Gachnang;8547;0;Gachnang;TG;8.859;47.539
Gadenstätt;7244;0;Luzein;GR;9.793;46.944
Gadmen;3863;0;Innertkirchen;BE;8.349;46.738
Gais;9056;0;Gais;AR;9.455;47.362
Galgenen;8854;2;Galgenen;SZ;8.870;47.182
Galmiz;3285;0;Galmiz;FR;7.158;46.950
Gals;3238;0;Gals;BE;7.050;47.028
Gammen;3206;4;Ferenbalm;BE;7.228;46.920
Gampel;3945;0;Gampel-Bratsch;VS;7.738;46.313
Gampelen;3236;0;Gampelen;BE;7.059;47.015
Gamprin-Bendern;9487;0;Gamprin;LI;9.506;47.217
Gams;9473;0;Gams;SG;9.440;47.204
Gamsen;3900;2;Brig-Glis;VS;7.955;46.304
Gandria;6978;0;Lugano;TI;9.002;46.005
Gansingen;5272;0;Gansingen;AG;8.140;47.543
Ganterschwil;9608;0;Bütschwil-Ganterschwil;SG;9.090;47.378
Gasel;3144;0;Köniz;BE;7.401;46.901
Gattikon;8136;0;Thalwil;ZH;8.551;47.285
Gebenstorf;5412;0;Gebenstorf;AG;8.243;47.477
Gebertingen;8725;2;Gommiswald;SG;9.003;47.254
Geiss;6123;0;Menznau;LU;8.056;47.090
Gelfingen;6284;0;Hitzkirch;LU;8.272;47.215
Gelterfingen;3126;2;Gelterfingen;BE;7.516;46.844
Gelterkinden;4460;0;Gelterkinden;BL;7.856;47.459
Geltwil;5637;2;Geltwil;AG;8.326;47.249
Gempen;4145;0;Gempen;SO;7.656;47.476
Gempenach;3215;0;Gempenach;FR;7.198;46.941
Genestrerio;6852;0;Mendrisio;TI;8.960;45.856
Genolier;1272;0;Genolier;VD;6.218;46.435
Genthod;1294;0;Genthod;GE;6.158;46.265
Gentilino;6925;0;Collina d'Oro;TI;8.933;45.991
Genève;1201;0;Genève;GE;6.147;46.210
Genève;1202;0;Genève;GE;6.149;46.201
Genève;1203;0;Genève;GE;6.124;46.209
Genève;1204;0;Genève;GE;6.145;46.202
Genève;1205;0;Genève;GE;6.144;46.195
Genève;1206;0;Genève;GE;6.159;46.187
Genève;1207;0;Genève;GE;6.163;46.207
Genève;1208;0;Genève;GE;6.166;46.199
Genève;1209;0;Genève;GE;6.124;46.222
Genève;1215;0;Le Grand-Saconnex;GE;6.107;46.235
Gerlafingen;4563;0;Gerlafingen;SO;7.572;47.171
Gerlikon;8500;4;Frauenfeld;TG;8.881;47.536
Geroldswil;8954;0;Geroldswil;ZH;8.413;47.423
Gerolfingen;2575;1;Täuffelen;BE;7.201;47.075
Gerra (Gambarogno);6576;0;Gambarogno;TI;8.785;46.123
Gerra (Verzasca);6635;0;Cugnasco-Gerra;TI;8.798;46.319
Gersau;6442;0;Gersau;SZ;8.530;46.994
Gerzensee;3115;0;Gerzensee;BE;7.547;46.838
Geschinen;3985;2;Münster-Geschinen;VS;8.283;46.496
Gettnau;6142;0;Gettnau;LU;7.970;47.142
Geuensee;6232;0;Geuensee;LU;8.113;47.200
Ghirone;6720;2;Blenio;TI;8.945;46.561
Gibswil;8498;0;Fischenthal;ZH;8.915;47.314
Giebenach;4304;0;Giebenach;BL;7.740;47.523
Giez;1429;0;Giez;VD;6.616;46.810
Giffers;1735;0;Giffers;FR;7.212;46.762
Gillarens;1673;2;Rue;FR;6.827;46.587
Gilly;1182;0;Gilly;VD;6.300;46.459
Gimel;1188;0;Gimel;VD;6.310;46.508
Gimmelwald;3826;0;Lauterbrunnen;BE;7.893;46.547
Gingins;1276;0;Gingins;VD;6.180;46.409
Giornico;6745;0;Giornico;TI;8.875;46.400
Gipf-Oberfrick;5073;0;Gipf-Oberfrick;AG;7.993;47.497
Gisikon;6038;0;Gisikon;LU;8.404;47.127
Giswil;6074;0;Giswil;OW;8.181;46.837
Giubiasco;6512;0;Giubiasco;TI;9.012;46.172
Giumaglio;6678;0;Maggia;TI;8.682;46.274
Givisiez;1762;0;Givisiez;FR;7.127;46.812
Givrins;1271;0;Givrins;VD;6.202;46.429
Gland;1196;0;Gland;VD;6.265;46.424
Glarus;8750;0;Glarus;GL;9.058;47.042
Glashütten;4856;0;Murgenthal;AG;7.845;47.259
Glaspass;7428;2;Tschappina;GR;9.347;46.677
Glattbrugg;8152;0;Opfikon;ZH;8.561;47.433
Glattfelden;8192;0;Glattfelden;ZH;8.498;47.556
Glattpark (Opfikon);8152;2;Opfikon;ZH;8.563;47.424
Gletterens;1544;0;Gletterens;FR;6.937;46.895
Glion;1823;0;Montreux;VD;6.927;46.430
Glis;3902;0;Brig-Glis;VS;7.980;46.309
Glovelier;2855;0;Haute-Sorne;JU;7.200;47.332
Gluringen;3998;1;Reckingen-Gluringen;VS;8.231;46.466
Gnosca;6525;0;Gnosca;TI;9.020;46.234
Gockhausen;8044;1;Dübendorf;ZH;8.602;47.383
Gohl;3553;0;Langnau im Emmental;BE;7.808;46.956
Golaten;3207;2;Golaten;BE;7.245;46.985
Goldach;9403;0;Goldach;SG;9.465;47.473
Goldau;6410;0;Arth;SZ;8.556;47.051
Goldingen;8638;0;Eschenbach (SG);SG;8.963;47.264
Goldiwil (Thun);3624;0;Thun;BE;7.665;46.762
Goldswil b. Interlaken;3805;0;Ringgenberg (BE);BE;7.880;46.697
Golino;6656;0;Centovalli;TI;8.714;46.179
Gollion;1124;0;Gollion;VD;6.508;46.585
Gommiswald;8737;0;Gommiswald;SG;9.058;47.247
Gommiswald;8737;0;Gommiswald;SG;9.019;47.232
Gondiswil;4955;0;Gondiswil;BE;7.872;47.146
Gondo;3907;4;Zwischbergen;VS;8.139;46.197
Gonten;9108;0;Gonten;AI;9.347;47.328
Gontenbad;9108;2;Gonten;AI;9.372;47.332
Gontenschwil;5728;0;Gontenschwil;AG;8.150;47.274
Goppenstein;3917;2;Ferden;VS;7.756;46.368
Goppisberg;3983;4;Riederalp;VS;8.049;46.371
Gordevio;6672;0;Avegno Gordevio;TI;8.738;46.226
Gordola;6596;0;Gordola;TI;8.865;46.179
Gorduno;6518;0;Gorduno;TI;9.032;46.218
Gorgier;2023;0;Gorgier;NE;6.781;46.903
Gossau SG;9200;0;Gossau (SG);SG;9.258;47.415
Gossau ZH;8625;0;Gossau (ZH);ZH;8.763;47.301
Gossens;1407;2;Donneloye;VD;6.700;46.739
Gossliwil;4579;0;Buchegg;SO;7.432;47.137
Gottlieben;8274;2;Gottlieben;TG;9.134;47.664
Goumoens-la-Ville;1376;0;Goumoëns;VD;6.603;46.658
Goumoens-le-Jux;1376;3;Goumoëns;VD;6.587;46.666
Goumois;2354;0;Saignelégier;JU;6.953;47.261
Graben;3376;0;Graben;BE;7.718;47.215
Grabs;9472;0;Grabs;SG;9.447;47.181
Grabserberg;9472;2;Grabs;SG;9.413;47.183
Grafenort;6388;0;Engelberg;OW;8.374;46.868
Grafenried;3308;0;Fraubrunnen;BE;7.515;47.077
Grafstal;8310;1;Lindau;ZH;8.698;47.444
Graltshausen;8572;3;Berg (TG);TG;9.183;47.597
Grancia;6916;0;Grancia;TI;8.929;45.967
Grancy;1117;0;Grancy;VD;6.464;46.592
Grand-Lancy;1212;0;Lancy;GE;6.121;46.182
Grandcour;1543;0;Grandcour;VD;6.930;46.872
Grandevent;1421;2;Grandevent;VD;6.606;46.838
Grandfontaine;2908;0;Grandfontaine;JU;6.940;47.392
Grandsivaz;1775;3;Montagny (FR);FR;6.981;46.785
Grandson;1422;0;Grandson;VD;6.644;46.808
Grandval;2745;0;Grandval;BE;7.424;47.281
Grandvaux;1091;0;Bourg-en-Lavaux;VD;6.716;46.494
Grandvillard;1666;0;Grandvillard;FR;7.086;46.539
Granges (Veveyse);1614;0;Granges (Veveyse);FR;6.831;46.525
Granges VS;3977;0;Sierre;VS;7.465;46.259
Granges-Paccot;1763;0;Granges-Paccot;FR;7.142;46.825
Granges-de-Vesin;1484;2;Les Montets;FR;6.843;46.812
Granges-près-Marnand;1523;0;Valbroye;VD;6.890;46.760
Grangettes-près-Romont;1686;0;Grangettes;FR;6.965;46.676
Granois (Savièse);1965;3;Savièse;VS;7.336;46.249
Grasswil;3365;0;Seeberg;BE;7.670;47.144
Grattavache;1624;2;La Verrerie;FR;6.914;46.595
Gravesano;6929;0;Gravesano;TI;8.917;46.043
Greich;3983;5;Riederalp;VS;8.041;46.366
Greifensee;8606;2;Greifensee;ZH;8.675;47.368
Grellingen;4203;0;Grellingen;BL;7.587;47.439
Grenchen;2540;0;Grenchen;SO;7.407;47.189
Greng;3280;4;Greng;FR;7.091;46.914
Grengiols;3993;0;Grengiols;VS;8.093;46.372
Grenilles;1726;3;Gibloux;FR;7.048;46.727
Grens;1274;3;Grens;VD;6.192;46.395
Greppen;6404;0;Greppen;LU;8.430;47.056
Gresso;6611;16;Onsernone;TI;8.616;46.225
Gressy;1432;2;Yverdon-les-Bains;VD;6.636;46.748
Gretschins;9479;2;Wartau;SG;9.488;47.098
Gretzenbach;5014;0;Gretzenbach;SO;8.002;47.358
Grimentz;3961;26;Anniviers;VS;7.569;46.181
Grimisuat;1971;0;Grimisuat;VS;7.383;46.259
Grindel;4247;0;Grindel;SO;7.506;47.381
Grindelwald;3818;0;Grindelwald;BE;8.046;46.625
Grolley;1772;0;Grolley;FR;7.071;46.834
Grono;6537;0;Grono;GR;9.148;46.245
Gross;8841;0;Einsiedeln;SZ;8.776;47.116
Grossaffoltern;3257;0;Grossaffoltern;BE;7.366;47.066
Grossdietwil;6146;0;Grossdietwil;LU;7.889;47.172
Grosshöchstetten;3506;0;Grosshöchstetten;BE;7.642;46.907
Grosswangen;6022;0;Grosswangen;LU;8.050;47.133
Grub AR;9035;0;Grub (AR);AR;9.511;47.445
Grub SG;9036;0;Eggersriet;SG;9.513;47.455
Gruben;3946;2;Turtmann-Unterems;VS;7.706;46.211
Grugnay (Chamoson);1955;4;Chamoson;VS;7.214;46.208
Grund b. Gstaad;3783;0;Saanen;BE;7.274;46.442
Gruyères;1663;0;Gruyères;FR;7.083;46.584
Gryon;1882;0;Gryon;VD;7.063;46.273
Grächen;3925;0;Grächen;VS;7.844;46.194
Gränichen;5722;0;Gränichen;AG;8.094;47.357
Gräslikon;8415;1;Berg am Irchel;ZH;8.605;47.556
Grône;3979;0;Grône;VS;7.454;46.252
Grünen;3455;0;Sumiswald;BE;7.741;47.025
Grünenmatt;3452;0;Lützelflüh;BE;7.726;47.010
Grüningen;8627;0;Grüningen;ZH;8.763;47.286
Grüsch;7214;0;Grüsch;GR;9.647;46.982
Grüt (Gossau ZH);8624;0;Gossau (ZH);ZH;8.782;47.311
Gstaad;3780;0;Saanen;BE;7.286;46.475
Gsteig b. Gstaad;3785;0;Gsteig;BE;7.267;46.385
Gsteigwiler;3814;0;Gsteigwiler;BE;7.879;46.655
Guarda;7545;0;Scuol;GR;10.152;46.775
